,Unnamed: 0,tweet_id,text,tweet_city,tweet_latitude,tweet_longitude,city,code,country
0,0,323096393520668672,"Whenever you feel weak, remember those who made you strong and whenever you start to doubt yourself remember those who believe in you.""",owerri-28-ng,5.4852300000000005,7.00662,owerri,28,ng
1,1,371125032858038272,Don't confuse your path with your destination. Just cause its stormy now doesn't mean your aren't headed for sunshine! #Boom,mumbai-16-in,19.14273982,72.82478887,mumbai,16,in
2,2,412300993762578432,@j3nnifer_Try0n @HaileyGerlach I don't wanna go!,fargo-nd017-us,46.86250538,-96.84592684,fargo,nd017,us
3,3,391134904115007488,"""@ShieldWomen: Wish for it or work for it? #DoMore http://t.co/K0iiN4O9hP""&gt; ♥ it #DoMore",johannesburg-06jhb-za,-26.07465933,27.98032391,johannesburg,06jhb,za
4,4,543696911262564352,@oxfordblue1968 @RATHBushcraft yep all our tweed jackets/blazers are gorgeous though I may be ever so slightly biased http://t.co/Uew9qqGNB6,dewsbury-eng00-gb,53.629186,-1.635556,dewsbury,eng00,gb
5,5,321417464032411648,@SilentWWquinton u shouldn't change it at all. @UndecisiveWquinton,madison-wi025-us,43.02363523,-89.42431412,madison,wi025,us
6,6,287898398512779264,@MickSunnyG this one is a little confronting,sydney-02-au,-33.52472501,150.62684482,sydney,02,au
7,7,418060465164406784,Happy new year everybody :)))) http://t.co/jN7eokdWiX,masjid jamie baitul muttaqien-30-id,-6.34569361,108.33657722,masjid jamie baitul muttaqien,30,id
8,8,435469628312395776,@amber_16ps,santo domingo-34-do,18.5138475,-69.8515783,santo domingo,34,do
9,9,483667298545197056,"@DonnySP2 kan tggl 9/10 july don, bareng yok",cikupa-30-id,-6.0399888,106.0833888,cikupa,30,id
10,10,409425110492520448,Great Lakes Christmas Ale. You can thank me later (@ Binny's South Loop - @binnysbev w/ 2 others) http://t.co/YCLoWaVkBo,chicago-il031-us,41.86796308,-87.64279414,chicago,il031,us
11,11,570504461296250880,"Non ""@Basitomania: Who's your twitter crush? #Bumper_PellyJayFtOritsefemi #FindYouBySAMMYDAVIDS #SammHensaw""",vryheid-02-za,-27.436285,30.981745,vryheid,02,za
12,12,432529349875466240,Setelaah ber-heelsboot riaa..balik lagi pake flatshoes ajj… (w/ Nikha at XXI Lotte Shopping Avenue) [pic] — https://t.co/yORxXCO9jG,jakarta-04-id,-6.37374,106.84781,jakarta,04,id
13,13,406959648143855616,I'm at Hogar Familia Chanchilu w/ @_curkobein_ http://t.co/husqjnN68X,santiago-12131-cl,-33.42542232,-70.68650213,santiago,12131,cl
14,14,404750818517450752,Felix ❤️❤️,lages-26-br,-27.81789034,-50.33633549,lages,26,br
15,15,396083511695646720,No lawar No Diet,denpasar-02-id,-8.63463,115.25547,denpasar,02,id
16,16,329441025015816192,@bobby_bball_23 og tomorrow,oshkosh-wi139-us,43.8105402,-88.6680709,oshkosh,wi139,us
17,17,552785653629345792,@cumannanya sering,city of balikpapan-14-id,-1.243099,116.89902,city of balikpapan,14,id
18,18,519970396045447168,Goodmorning keepsafe &amp; Godbless ☺,cagayan de oro-1043-ph,8.490851,124.61517,cagayan de oro,1043,ph
19,19,384012820628930560,I'm at Afrit Gentbrugge (Ghent) http://t.co/GwkR5aY4LU,gent-vlgvov-be,51.03424089,3.75475439,gent,vlgvov,be
20,20,405536784941318144,@KARmas_a_biitch @MAKS_e_pad,hempstead-ny059-us,40.90700468,-73.57396831,hempstead,ny059,us
21,21,420983492177313792,Follow and support @F2S2x_ amazing girl♡♡,as salimiyah-00-kw,29.3348617,47.9789566,as salimiyah,00,kw
22,22,360473518288289792,"Pedro Alvarez. #derp
You should know better than to round first base like that. #BUCN","washington, d. c.-dc001-us",38.87290292,-77.0079604,"washington, d. c.",dc001,us
23,23,545052803886886912,Does anybody want this pathetic attempt of a t shirt ? http://t.co/32S6yvnwSG,plano-tx085-us,32.99951,-96.883533,plano,tx085,us
24,24,547240490022617088,@BaileyPortwood I'm glad that the fact that my mom forgets about me is funny to you 😭😭😭 lol @ my life rn,omaha-ne055-us,41.782947,-95.287009,omaha,ne055,us
25,25,413836469644853248,Traditional year-end dinner. (@ Easy Bistro &amp; Bar) http://t.co/bzVVa3derY,chattanooga-tn065-us,35.054463,-85.31081209999998,chattanooga,tn065,us
26,26,493185608534466560,My body clock is fucked 😬,kingswood-engm6-gb,51.526854,-2.535839,kingswood,engm6,gb
27,27,554826450818174976,@kingkillem97 Oregon is losing tonight,clarksville-tn125-us,36.031725,-87.24580999999998,clarksville,tn125,us
28,28,394892983461765120,"""The Role of Citizenship in Building Democracy"". Imposible aburrirse aca, aunque aun falta la piscola..",city of london-enggla-gb,51.51548297,-0.1178472,city of london,enggla,gb
29,29,508187967136210944,http://t.co/mDqFT4SZg2,port au prince-11-au,18.556483,-72.26038199999998,port au prince,11,au
30,30,534879607548547072,@KassScheuring she wasn't feeling it today,new haven-ct009-us,40.894124,-72.516864,new haven,ct009,us
31,31,572881545402302464,"""@Concursos_lit: VII CERTAMEN LITERARIO PREMIO RAPHAEL http://t.co/ZzK3YtwMWX""",gijon-34o-es,43.527541,-5.664619999999998,gijon,34o,es
32,32,492066220359700480,“@YABOYYDEQUAN: when u think ur friend is listenin to ur story n then u realize http://t.co/iMfcPV0MzP” @_KELLYNEWMAN @spdetore,brockton-ma023-us,42.16682700000001,-71.25523299999998,brockton,ma023,us
33,33,438113730186858496,@Killuhkolbs if anything dude before any big moves I would like to do a exposè on life up there,roseville-ca061-us,38.9024344,-121.32622458,roseville,ca061,us
34,34,530877205757583360,Agr ???? Pqp,sao jose-26-br,-28.328546000000006,-49.182053,sao jose,26,br
35,35,302887917976682496,Watchin Catfish the movie,dublin-l33-ie,53.392639,-6.189765,dublin,l33,ie
36,36,360011809459146752,Modelling for Natasha's fashion show :) xxx @ Vision West Notts College http://t.co/wrlXqolKee,mansfield-engj9-gb,53.130483,-1.141419,mansfield,engj9,gb
37,37,484167452570296320,"Love them!
#rahuldontcare #usa #ibelievethatwecanwin @ Cinci Tin Roof http://t.co/kemQ41wtB7",cincinnati-oh061-us,39.09734812,-84.50949134,cincinnati,oh061,us
38,38,486044285867794432,"""I heard Taft was really ghetto like fights everyday and stuff."" Lmfaoo😭😩✌Noo",valencia-ca037-us,34.16846288,-118.56946864,valencia,ca037,us
39,39,389720060438532096,I'm at Olongapo City (Zambales) http://t.co/L9lSlqXZBp,olongapo-00e3-ph,14.83961255,120.28422017,olongapo,00e3,ph
40,40,490451505644724224,"Perjuangan banget bukber disini O_o (with @M_Alrasyidi95, Vinda 'EBOTH', and 4 others at Seafood rawasari) — https://t.co/PWqElebgYd",jakarta-04-id,-6.18741,106.86568,jakarta,04,id
41,41,370239485495083008,Thank you for everything,surabaya-08-id,-7.2608,112.71558,surabaya,08,id
42,42,569663176314195968,Tyga was good but bring on my baby!!,"washington, d. c.-dc001-us",38.897488,-77.02179100000002,"washington, d. c.",dc001,us
43,43,322775608935456768,"I've been sneezing the whole friken day , wtf-_- ! #gettingsick &gt;,&lt;",boston-ma025-us,42.38647553,-71.09712583,boston,ma025,us
